Node Number	Total Deformation (m)
1	4.96E-03
2	4.94E-03
3	4.98E-03
4	4.93E-03
5	4.98E-03
6	4.98E-03
7	4.98E-03
8	4.93E-03
9	4.97E-03
10	4.94E-03
11	4.93E-03
12	4.97E-03
13	4.98E-03
14	4.95E-03
15	4.97E-03
16	4.99E-03
17	4.95E-03
18	4.94E-03
19	4.95E-03
20	4.97E-03
21	4.94E-03
22	4.93E-03
23	4.98E-03
24	4.96E-03
25	4.96E-03
26	4.94E-03
27	5.00E-03
28	4.98E-03
29	4.95E-03
30	4.98E-03
31	4.94E-03
32	4.96E-03
33	8.23E-02
34	8.25E-02
35	8.25E-02
36	8.26E-02
37	8.27E-02
38	8.28E-02
39	8.32E-02
40	8.26E-02
41	8.24E-02
42	8.25E-02
43	8.24E-02
44	8.25E-02
45	8.25E-02
46	8.26E-02
47	8.25E-02
48	8.26E-02
49	8.24E-02
50	8.25E-02
51	8.26E-02
52	8.26E-02
53	8.28E-02
54	8.28E-02
55	8.27E-02
56	8.30E-02
57	8.31E-02
58	8.29E-02
59	8.30E-02
60	8.29E-02
61	8.31E-02
62	8.24E-02
63	8.23E-02
64	8.25E-02
65	0.19192
66	0.19175
67	0.19165
68	0.19165
69	0.19173
70	0.19188
71	0.1921
72	0.19234
73	0.19256
74	0.19273
75	0.19283
76	0.19284
77	0.19276
78	0.19259
79	0.19237
80	0.19214
81	0.19183
82	0.19168
83	0.19164
84	0.19168
85	0.1918
86	0.19199
87	0.19222
88	0.19246
89	0.19266
90	0.19279
91	0.19285
92	0.19282
93	0.19269
94	0.19248
95	0.19226
96	0.19203
97	0.20768
98	0.20754
99	0.20747
100	0.20746
101	0.20752
102	0.20766
103	0.20783
104	0.20802
105	0.20818
106	0.20832
107	0.2084
108	0.20841
109	0.20833
110	0.20821
111	0.20804
112	0.20786
113	0.2076
114	0.2075
115	0.20746
116	0.20748
117	0.20758
118	0.20774
119	0.20793
120	0.2081
121	0.20825
122	0.20837
123	0.20842
124	0.20838
125	0.20828
126	0.20813
127	0.20795
128	0.20777
129	0.34016
130	0.34064
131	0.34117
132	0.34125
133	0.34162
134	0.34102
135	0.34069
136	0.34045
137	0.34043
138	0.34044
139	0.34029
140	0.34098
141	0.34085
142	0.34084
143	0.34161
144	0.34153
145	0.34158
146	0.34136
147	0.34186
148	0.34129
149	0.34115
150	0.34121
151	0.34135
152	0.34094
153	0.3408
154	0.34108
155	0.34059
156	0.3405
157	0.34057
158	0.34052
159	0.3404
160	0.34031
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	0
